SubjectCode,Category,Type,Part,Weight,Completion Criteria,Duration,CLO,Question Type,No Question,Knowledge and Skill,Grading Guide,Note
VOV114,Final exam,final exam,1,100.0%,5,1.5 hours,,Test techniques,Số phần thi: 03Number of sections: 03* Kỹ thuật căn bản.Basic techniques.* Kỹ thuật phản đòn.Techniques on counter attack.* Thể lực chung.Physical strength.,* Kỹ thuật căn bảnBasic techniques* Thể lựcPhysical strength,Chọn 1 trong 2 cách sau:Choose 1 of 2 following ways:* Sinh viên bốc thăm câu hỏi.Students draw questions.* Giảng viên đặt yêu cầu để sinh viên thực hiện.Lecturer set requirements for students.,"Thành lập hội đồng chấm thi. Chủ nhiệm BM là chủ tịch hội đồng, phân công các GV vào các vị trí:Establish an examination board. Head of Subject is chief examiner of the board and responsible assigning teachers:* Thư ký hội đồng: giám sát tư cách dự thi của SV và tổng hợp điểm.Secretary of the Board: supervise the eligibility of students and synthesize scores.* Các tổ chấm thi tương ứng với 3 phần thi.There are teams of examiners corresponding to 3 sections of the exam."
COV111,Mid-term,on-going,1,33.3%,,,,Test techniques,8-10,* Các giai đoạn trong Cờ VuaStages in Chess* Những tri thức cơ bản trong Cờ VuaBasic knowledge of Chess,Thi giấy tập trungPaper-based examination,
COV111,Final exam,final exam,1,66.7%,,,,Test techniques,8-10,* Các giai đoạn trong Cờ VuaStages in Chess* Những tri thức cơ bản trong Cờ VuaBasic knowledge of Chess,Thi giấy tập trungPaper-based examination,
DTR103,Assignment,on-going,1,15.0%,>0,,,"Thầy cô có thể tổ chức các hoạt động, VD: thuyết trình, làm workshop, viết luận, v.v. Sản phẩm chấm điểm có thể là: bài thuyết trình, slides, bài luận, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Kiến thức về loại nhạc cụ sinh viên học.Knowledge about musical instrument introduced in this course.,Giáo viên chấm thang điểm 10Scoring scale: 10,
DTR103,Participation,on-going,1,15.0%,>0,,,,,,"Ghi nhận của GV v/v sinh viên tích cực tham gia các hoạt động, đi học đầy đủ, có bài luận.Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay.Thang điểm 10Scoring scale: 10",
DTR103,Final exam,final exam,1,70.0%,4,5phút/SV5 min/students,,thực hànhpractice,3 bài3 songs,,"Sinh viện chơi hòa tấu với nhau 1 bài dân ca Việt Nam và 1 bài nhạc cổ truyền,Students play 1 Vietnamese folk song and 1 traditional song in ensemble with other studentsĐộc tấu 1 bài quốc tế.Play solo 1 foreign song.Thang điểm 10Scoring scale: 10",
DBA103,Assignment,on-going,1,15.0%,>0,,,"Thầy cô có thể tổ chức các hoạt động, VD: thuyết trình, làm workshop, viết luận, v.v. Sản phẩm chấm điểm có thể là: bài thuyết trình, slides, bài luận, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Kiến thức về loại nhạc cụ sinh viên học.Knowledge of musical instrument introduced in this course.,Giáo viên chấm thang điểm 10Scoring scale: 10,
DBA103,Participation,on-going,1,15.0%,>0,,,,,,"Ghi nhận của GV v/v sinh viên tích cực tham gia các hoạt động, đi học đầy đủ, có bài luận.Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay.Thang điểm 10Scoring scale: 10",
DBA103,Final exam,final exam,1,70.0%,4,5phút/SV5 min/students,,thực hànhpractice,"3 bài (2 bài hòa tấu, 1 bài độc tấu)3 songs (2 ensemble performance, 1 solo song)",,"Sinh viên lựa chọn 3 bài trong đó 2 bài dân ca Việt Nam và 1 bài quốc tếStudents play 3 songs, including 2 Vietnamese folk songs and 1 foreign song(Bài dân ca hòa tấu với các nhạc cụ khác)(The folk songs are performed in ensemble with other musical instruments)",
DSA103,Assignment,on-going,1,15.0%,>0,,,"Thầy cô có thể tổ chức các hoạt động, VD: thuyết trình, làm workshop, viết luận, v.v. Sản phẩm chấm điểm có thể là: bài thuyết trình, slides, bài luận, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Kiến thức về loại nhạc cụ sinh viên học.Knowledge about musical instrument introduced in this course.,Giáo viên chấm thang điểm 10Scoring scale: 10,
