SubjectCode,Session No,Name,Details
CSI106,13,CQ5.1,How to store the sign of number on computer
CSI106,13,CQ5.2,"Compare and constrast storing text, image, sound and video on computer"
CSI106,14,CQ5.3,What is the difference between logic operation at bit level and pattern level?
CSI106,15,CQ5.4,What is the difference between an arithmetic operation and a shift operation?
CSI106,16,CQ6.1,Compare and constrast characteristics LAN and WAN
CSI106,17,CQ6.2,What is the role of TCP/IP protocol suite and their relationship?
CSI106,18,CQ6.3,How to transfer data from one computer to another?
CSI106,25,CQ9.1,"Define three constructs: sequence, decision, and repetition. Describe their use in algorithms"
CSI106,26,CQ9.2,What is the UML diagram ? How is a UML diagram related to an algorithm?
CSI106,26,CQ9.3,How can we write an example of an algorithm by UML diagram?
CSI106,27,CQ9.4,What is the pseudocode ? How is pseudocode related to an algorithm?
CSI106,27,CQ9.5,How can we write an example of an algorithm by pseudocode?
CSI106,31,CQ11.1,"How can machine language, assembly language and a high-level language be distinguished?"
CSI106,31,CQ11.2,How can compilation and interpretation be distinguished?
CSI106,32,CQ11.3,How can four basic computer language paradigms be distinguished?
CSI106,32,CQ11.4,What are the similarities and differences between a procedural paradigm with an object-oriented paradigm?
CSI106,35,CQ12.1,What is the software lifecycle in software engineering?
CSI106,35,CQ12.2,What is the development processes? What are the two most common types of development processes
CSI106,36,CQ12.3,What is the purpose of the analysis phase? What are two trends in this phase?
CSI106,36,CQ12.4,What is the purpose of the design phase? What are two trends in this phase?
CSI106,37,CQ13.1,How can the implementaion phase be described? What are the qualitiy issues in this phase?
CSI106,38,CQ13.2,What is the purpose of the testing phase? How can glass-box testing and black-box testing be distinguished?
CSI106,39,CQ13.3,What is an Array as a data structure? How is it used to store a list of data items?
CSI106,39,CQ13.4,What is a Record as a data structure ? How do you think about Record and Array
CSI106,40,CQ14.1,"How can we write a program using pointers? What are the similarities and differences among arrays, records and linked lists?"
CSI106,41,CQ14.2,What is the concept of an abstract data type (ADT)? What is a Stack?
CSI106,41,CQ14.3,What is a Queue? What are the differences between Stack and Queue?
CSI106,42,CQ14.4,What is a General Tree? What is a Binary Tree? What are the differences and similarities between General Tree and Binary Tree?
CSI106,42,CQ14.5,What is a Binary Search Tree (BST)? What is a Graph? What are the differences and similarities between Tree and Graph?
CSI106,43,CQ15.1,What is the difference between a text file and a binary file?
CSI106,44,CQ15.2,How to retrieve information from the file?
CSI106,45,CQ15.3,"How do we operate on a sequential file, an indexed file, or a hashed file?"
CSI106,46,CQ16.1,What is a database?
CSI106,47,CQ16.2,Why do we need to use architecture in database system?
CSI106,48,CQ16.3,Identify an advantage that an object-oriented database can have over a relational database.
CSI106,49,CQ17.1,What is the purpose of a database model?
CSI106,50,CQ17.2,How does the relational model provide for data independence?
CSI106,51,CQ17.3,How do you design a good database?
CSI106,52,CQ18.1,What are security goals?
CSI106,53,CQ18.2,How confidentiality can be achieved using symmetric-key and asymmetric-key cipher?
CSI106,54,CQ18.3,What is the main ideas of aspect security?
MAD101,1,CT_CQ1,What are the types of propositional logic?
MAD101,1,CQ1_HCM,List as many logical operators as possible. Give examples that use operators you listed.
MAD101,2,CT_CQ1,What does it mean for two propositions to be logically equivalent? Describe the different ways to show that two compound propositions are logically equivalent.
MAD101,2,CQ1_HCM,How do we define the concept 'logical equivalence' in propositional logic? Let's give examples.
MAD101,2,CQ2_HCM,Give two examples using De Morgan laws.
MAD101,3,CT_CQ1,How to understand the universal and existential quantifications of a predicate P(x)? What are their negations?
MAD101,3,CQ1_HCM,What is the main different between a predicate and a proposition? Illustrate your statement by examples.
MAD101,4,CQ1_DN,What are two most important quantifiers? How is Demorgan's law in predicate logic understood?
MAD101,4,CT_CQ1,What is the precedence of quantifiers?
MAD101,4,CQ1_HCM,In what case is the value of the proposition ∀xP(x) false? Give counterexamples.
MAD101,5,CQ1_DN,What are two most important quantifiers? How is Demorgan's law in predicate logic understood?
MAD101,5,CT_CQ1,"What is the difference between the quantification ∃x∀yP(x, y) and ∀y∃xP(x, y), where P(x, y) is a predicate? Give an example of a predicate P(x, y) such that they have different truth values?"
MAD101,5,CQ1_HCM,"Let P(x, y) be a predicate. Give an instance that makes the truth value of the propositions ∃x∀yP(x, y) and ∀y∃xP(x, y) true/false."
MAD101,6,CQ1_DN,What are two most important quantifiers? How is Demorgan's law in predicate logic understood?
MAD101,6,CT_CQ1,How to negate a statement involving nested quantifiers? Give examples.
MAD101,6,CQ1_HCM,"What is the negation of ∃x∀y(P(x, y) --> Q(x,y))? Give examples in English statements."
MAD101,6,CQ2_HCM,Give examples of translation between English statements and logical expressions.
MAD101,7,CT_CQ1,"Describe what is meant by a valid argument in propositional logic and show that the argument “If the earth is flat, then you can sail off the edge of the earth,” “You cannot sail off the edge of the earth,” therefore, “The earth is not flat” is a valid argument"
MAD101,7,CQ1_HCM,List some rules of inference. Use them to give your own valid arguments.
MAD101,8,CT_CQ1,"Use rules of inference to show that if the premises “All zebras have stripes” and “Mark is a zebra” are true, then the conclusion “Mark has stripes” is true."
MAD101,8,CQ1_HCM,"For each of these arguments, determine whether it is correct or incorrect, and explain why. Give your correction to obtain a valid one. a) Every computer science major takes discrete mathematics. Natasha is taking discrete mathematics. Therefore, Natasha is a computer science major. b) Everyone who eats granola every day is healthy. Linda is not healthy. Therefore, Linda does not eat granola every day."
MAD101,9,CT_CQ1,Explain what it means for one set to be a subset of another set. How do you prove that one set is a subset of another set?
