SubjectCode,CLO Name,CLO Details,LO Details
OTP101,1,CLO1,Know general information about FPT university and the roles of functional department supporting students during the studying period.
OTP101,2,CLO2,"Define training models and regulations of FPT university, know the curriculum that the students will study and information systems to support students' learning. Understand study skills for university students."
OTP101,3,CLO3,"Indicate the fundermentals of military and national security and practice the basic skills in military training and Vovinam. Enhance fitness, sense of patriotism and national pride as well as the awareness of constructing and protecting the nation."
OTP101,4,CLO4,"Develop soft skills such as team spirit, disciplines and positive attitude in different environment."
OTP101,5,CLO5,"Experience plentiful activities in order to develop personalities, life skills and sense of community."
VOV114,1,CLO1,Giới thiệu cho sinh viên sơ lược về sự hình thành và phát triển môn Vovinam – Việt võ đạo trong nước và thế giới. Briefly introduce the formation and development of Vovinam - Viet Vo Dao in Vietnam as well as around the world.
VOV114,2,CLO2,Giới thiệu môn quy và các quy định trong tập luyện Vovinam tại trường Đại học FPT. Introduce rules and regulations of Vovinam training at FPT University.
VOV114,3,CLO3,"Bước đầu xây dựng cho sinh viên những kỹ năng thực hiện kỹ thuật, các kỹ thuật cơ bản và nền tảng thể lực chung. Initially build basic skills, techniques and physical foundation for students."
COV111,1,CLO1,Giới thiệu cho sinh viên sơ lược về môn học Cờ Vua. Briefly introduce the subject of Chess.
COV111,2,CLO2,Giới thiệu các quy định trong học tập nội dung Cờ Vua tại trường Đại học FPT. Introduce regulations of studying Chess at FPT University.
COV111,3,CLO3,Bước đầu xây dựng cho sinh viên những kỹ năng thi đấu cơ bản. Initially build basic competition skills for students.
DTR103,1,CLO1,"Hiểu biết cơ bản về lịch sử, sự phát triển hình thành của nền âm nhạc truyền thống Việt Nam. Understand the history and development of Vietnamese traditional music."
DTR103,2,CLO2,Phân biệt được sự khác nhau của các nhạc cụ truyền thống Việt Nam và một số nước khác. Differentiate traditional musical instruments of Vietnam from those of other countries.
DTR103,3,CLO3,Chơi được một số bài cơ bản của nhạc truyền thống Việt Nam và nước ngoài. Be able to play some simple Vietnamese and foreign traditional songs.
DBA103,1,CLO1,"Hiểu biết cơ bản về lịch sử, sự phát triển hình thành của nền âm nhạc truyền thống Việt Nam. Understand the history and development of Vietnamese traditional music."
DBA103,2,CLO2,Chơi được một số bài cơ bản của nhạc truyền thống Việt Nam và nước ngoài. Be able to play some simple Vietnamese and foreign traditional songs.
DSA103,1,CLO1,"Hiểu biết cơ bản về lịch sử, sự phát triển hình thành của nền âm nhạc truyền thống Việt Nam. Understand the history and development of Vietnamese traditional music."
DSA103,2,CLO2,Chơi được một số bài cơ bản của nhạc truyền thống Việt Nam và nước ngoài. Be able to play some simple Vietnamese and foreign traditional songs.
