SubjectCode,Session,Topic,Learning-Teaching Type,LO,ITU,Student Materials,S-Download,Student's Tasks,URLs
OTP101,1,Orientation weekWeek 1,Offline,"LO1, LO2",IT,Ref [1]. The introduction of FPT corporation and FPT university.,,"- Attend the opening ceremony and class meetings.- Attend introduction sessions about the university, deparments, libraries, training regulations and curricula.- Attens seminars about study skills at university.- Attend health check sessions.",
OTP101,2,Collective Training programWeek 2,Offline,"LO3, LO4, LO5",IT,"Ref[2]. ""Hồi ký: Từ nhân dân mà ra""",,- Attend enough activities and sessions.,
OTP101,3,Collective Training programWeek 2Fulltime Training ProgramWeek 3,Offline,"LO3, LO4, LO5",IT,"Ref[3]. ""Hồi ký: Những điều đọng lại qua hai cuộc chiến tranh""",,- Attend enough activities and sessions.,
OTP101,4,Collective Training programWeek 3Fulltime Training ProgramWeek 4,Offline,"LO3, LO4, LO5",IT,"Ref[4]. ""Hồi ký: Tổng hành dinh""",,- Attend enough activities and sessions.,
OTP101,5,Collective Training programWeek 4Fulltime Training ProgramWeek 5,Offline,"LO3, LO4, LO5",IT,,,- Attend enough activities and sessions.,
VOV114,1,* Làm quen với môn học:Familiarize students with the subject:* Giới thiệu cho sinh viên sơ lược về sự hình thành và phát triển môn võ VovinamBriefly introduce the formation and development of Vovinam.- Việt võ đạo trong nước và thế giới.Vovinam in Vietnam and in the world.* Giới thiệu về các quy định và nghi lễ trong môn học Vovinam tại trường Đại học FPT.Introducce regulations of the subject of Vovinam at FPT University.* Hướng dẫn các kỹ thuật khởi động cơ bản.Instruct basic warm-up techniques.* Giới thiệu kỹ thuật tay quyền và tay chưởng.Introduce fist and open-hand techniques.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,2,* Ôn tập kỹ thuật tay quyền - tay chưởng.Review fist and open-hand techniques.* Giới thiệu kỹ thuật tấn:Introduce stance techniques:+ Trung bình tấn;Middle stance+ Cung tiễn tấn;Bow stance+ Kiềm dương mã tấnHorse stance* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,3,* Ôn tập kỹ thuật tay quyền - tay chưởng.Review fist and open-hand techniques.* Giới thiệu kỹ thuật tấn:Introduce stance techniques:+ Đinh tấn;Front stance;+ Tam giác tấn;Triangle stance;* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,4,* Ôn tập và hoàn thiện kỹ thuật tấn đã học.Review and improve stance techniques that have been learned.* Giới thiệu kỹ thuật bộ chém:Introduce cutting edge technique:+ Chém số 1;Cutting edge 1;+ Chêm số 2.Cutting edge 2;* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,5,* Ôn tập và hoàn thiện kỹ thuật tấn đã học.Review and improve stance techniques that have been learned.* Giới thiệu kỹ thuật bộ chém:Introduce cutting edge technique:+ Chém số 3;Cutting edge 3;+ Chêm số 4.Cutting edge 4;* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
