SubjectCode,SubjectName,Number Credits,Fee,Fee International
IA_ELE2,IA Elective 2,3,,
IA_ELE3,IA Elective 3,3,,
RES222,Food Preparation & Science,3,3690000,2505000
3DP491,Digital project 3D,3,12300000,8350000
ACC101,Accounting Principles,3,3690000,2505000
ACC101,Accounting Principles,3,3690000,2505000
ACC101,Accounting Principles,3,3690000,2505000
ACC101-Extra,Accounting Principles,3,3690000,0
ACC302,Managerial Accounting,3,3690000,
ACC305,Financial Statement Analysis,3,3690000,
ACH301,Accommodation Management,3,3690000,2505000
ACS201,Automotive Communication Systems,3,3690000,
ADA201c,AI in data analysis,3,3690000,
ADB201,Book Design & Printing Technology,3,3690000,
ADE301,Exhibition Display & Event Design,3,3690000,
ADH301,Mobility Applications Design 1,3,3690000,2505000
ADI201,Designing Brand Identity,3,3690000,2505000
ADM401,Mobility Application Design,3,3690000,
ADP301,Packaging design,3,3690000,2505000
ADS301m,Google ads and SEO,3,3690000,2505000
ADT401,Mobility Applications Design 2,3,3690000,2505000
ADY201m,"AI, DS with Python & SQL",3,3690000,2505000
AEE301,Automotive Electrical-Electronics Systems,3,3690000,
AET102,Aesthetic,2,2460000,1670000
AET102c,Aesthetic,2,2460000,
AFA201,Human Anatomy for Artis,3,3690000,2505000
AFA201m,Human Anatomy for Artis,3,3690000,
AGD301,Information Graphic Design,3,3690000,2505000
AI17_COM*1,Subject 1 of Combo,3,3690000,
AI17_COM*2,Subject 2 of Combo,3,3690000,
AI17_COM*3,Subject 3 of Combo,3,3690000,
AI17_COM*4,Subject 4 of Combo,3,3690000,
AIC301,Analog ICs,3,3690000,
AID301c,AI in Production,3,3690000,2505000
AIG201c,Artificial Intelligence,3,3690000,2505000
AIG202c,Artificial Intelligence,3,3690000,
AIL302m,Machine Learning,3,3690000,2505000
AIL303m,Machine Learning,3,3690000,2505000
AIP391,AI programming project,3,3690000,2505000
AIP490,AI Capstone Project,10,12300000,8350000
AIP491,AI Capstone Project,10,12300000,
AIT301,AI with Tensorflow,3,3690000,2505000
AMM301,Account management,3,3690000,
ANA401,3D Character Animation,3,3690000,2505000
