term,course_name,course_code,avg_score,status,summary
Fall2023,Summit1 ,ENT403,0.0,Is Exempt,{}
Fall2023,Summit2 ,ENT503,0.0,Is Exempt,{}
Fall2023,Orientation and General Training Program ,OTP101,7.0,Passed,"{'Final': {'weight': '100.0 %', 'value': '7'}, 'Final Resit': {'weight': '100.0 %', 'value': None}}"
Fall2023,Vovinam 1 ,VOV114,5.0,Passed,"{'Final exam': {'weight': '100.0 %', 'value': '5'}, 'Final exam Resit': {'weight': '100.0 %', 'value': None}}"
Spring2024,Introduction to Computer Science ,CSI105,8.0,Passed,"{'Group Presentation': {'weight': '10.0 %', 'value': '8.3'}, 'Lab': {'weight': '20.0 %', 'value': '8.4'}, 'Progress Test': {'weight': '30.0 %', 'value': '10'}, 'Final exam': {'weight': '40.0 %', 'value': '6.3'}, 'Final exam Resit': {'weight': '40.0 %', 'value': None}}"
Spring2024,Discrete mathematics ,MAD101,9.1,Passed,"{'Assignment or exercises': {'weight': '30.0 %', 'value': '9.5'}, 'Progress test': {'weight': '30.0 %', 'value': '9.5'}, 'Final exam': {'weight': '40.0 %', 'value': '8.6'}, 'Final exam Resit': {'weight': '40.0 %', 'value': None}}"
Spring2024,Mathematics for Engineering ,MAE101,8.3,Passed,"{'Assignment / Excercise': {'weight': '30.0 %', 'value': '7.7'}, 'Progress test': {'weight': '30.0 %', 'value': '8'}, 'Final exam': {'weight': '40.0 %', 'value': '9'}, 'Final exam Resit': {'weight': '40.0 %', 'value': None}}"
Spring2024,Programming Fundamentals with Python ,PFP191,7.2,Passed,"{'Lab': {'weight': '10.0 %', 'value': '9'}, 'Progress Test': {'weight': '10.0 %', 'value': '7.5'}, 'Assignment': {'weight': '20.0 %', 'value': '8'}, 'Practical Exam': {'weight': '30.0 %', 'value': '4'}, 'Final Exam': {'weight': '30.0 %', 'value': '9'}, 'Final Exam Resit': {'weight': '30.0 %', 'value': None}}"
Spring2024,Academic Skills for University Success ,SSL101c,7.9,Passed,"{'theory_exam': '7.5', 'practise_exam': None, 'bonus': '0.4'}"
Spring2024,Vovinam 2 ,VOV124,6.0,Passed,"{'Final exam': {'weight': '100.0 %', 'value': '6'}, 'Final exam Resit': {'weight': '100.0 %', 'value': None}}"
Summer2024,Artificial Intelligence ,AIG202c,9.5,Passed,"{'theory_exam': '9', 'practise_exam': None, 'bonus': '0.5'}"
Summer2024,Computer Organization and Architecture ,CEA201,7.7,Passed,"{'Assignment': {'weight': '30.0 %', 'value': '8.5'}, 'Exercises': {'weight': '30.0 %', 'value': '8.5'}, 'Final exam': {'weight': '40.0 %', 'value': '6.5'}, 'Final exam Resit': {'weight': '40.0 %', 'value': None}}"
Summer2024,Data Structures and Algorithm with Python ,CSD203,8.9,Passed,"{'Assignment 1': {'weight': '10.0 %', 'value': '7'}, 'Assignment 2': {'weight': '10.0 %', 'value': '8.5'}, 'Progress test 1': {'weight': '10.0 %', 'value': '9.5'}, 'Progress test 2': {'weight': '10.0 %', 'value': '7.7'}, 'Practical exam': {'weight': '30.0 %', 'value': '9.5'}, 'Final exam': {'weight': '30.0 %', 'value': '9.4'}, 'Final exam Resit': {'weight': '30.0 %', 'value': None}}"
Summer2024,Database Systems ,DBI202,8.8,Passed,"{'Lab': {'weight': '10.0 %', 'value': '8.9'}, 'Progress test': {'weight': '10.0 %', 'value': '9'}, 'Assignment': {'weight': '20.0 %', 'value': '9'}, 'Final exam': {'weight': '30.0 %', 'value': '8'}, 'Final exam Resit': {'weight': '30.0 %', 'value': None}, 'Practical Exam': {'weight': '30.0 %', 'value': '9.5'}}"
Summer2024,Traditional music instrument ,DNH103,7.2,Passed,"{'Assignment': {'weight': '15.0 %', 'value': '7'}, 'Participation': {'weight': '15.0 %', 'value': '8'}, 'Final Exam': {'weight': '70.0 %', 'value': '7'}, 'Final Exam Resit': {'weight': '70.0 %', 'value': None}}"
