Subject,Student,Plan
AID301c- AI in Production,AID301c_1(F | 15-(15))-(VuongNL3),2 slots
AIG202c- Artificial Intelligence,AIG202c_1(F | 29-(31))-(TrinhVQ)AIG202c_2(F | 23-(28))-(TrinhVQ),2 slots
AIL303m- Machine Learning,AI19B(P46 | 33-(35))-(VuBC),30 slots
CPV301- Computer Vision,AI19B(P64 | 28-(30))-(TrinhVQ),30 slots
CSD203- Data Structures and Algorithm with Python,AI20A01(A46 | 22-(24))-(VuBC)AI20A02(P46 | 23-(27))-(TrinhVQ)AI20A03(P64 | 19-(19))-(VuBC),30 slots
DAP391m- AI-DS Project,AI19B(P52 | 26-(28))-(VuongNL3),30 slots
DAT301m- AI Development with TensorFlow,AI18B(A35 | 15-(15))-(VuBC),30 slots
DBM302m- Data Mining,AI18B(A53 | 17-(17))-(TrinhVQ),30 slots
DPL302m- Deep Learning,AI18D01(F | 18-(18))-(HongPTT11)AI18D02(F | 20-(22))-(HongPTT11),60 slots
DWP301c- Web Development with Python,DWP301c_1(F | 21-(21))-(LongNQ9)DWP301c_2(F | 18-(20))-(LongNQ9),2 slots
IMP302m- Image and Video processing,AI17D(P35 | 15-(15))-(TrinhVQ),30 slots
PFP191- Programming Fundamentals with Python,AI20B01(A36 | 21-(21))-(QuanNT50)IA20B(A63 | 19-(21))-(VuBC)AI20B02(P36 | 24-(24))-(QuanNT50),30 slots
PRP201c- Python programming,PRP201c_1(F | 29-(32))-(VuBC),2 slots
REL301m- Reinforcement Learning,AI17D(P64 | 15-(15))-(TriNG2),30 slots
SEG301- Search Engines,AI18D01(P52 | 32-(33))-(VuBC),30 slots
TMG301- Text Mining,AI18D01(P25 | 32-(33))-(VuongNL3),30 slots
